X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_31	OTU_40	-0.226645	-0.226645	-0.226645	5	4	16	1	0.371000	0.337375	0.106910	0.337375	0.106910	0	0.006020	0.977728	-0.168860	0.441170	1	0.522566	0.573323	0.002337	0.648366	0.001546	28	65
OTU_31	OTU_53	-0.177834	-0.177834	-0.177834	14	14	8	0	0.409000	-0.275687	0.192259	-0.275687	0.192259	0	-0.299896	0.154513	-0.299896	0.154513	0	0.546240	0.630283	0.003057	0.308733	0.000855	28	66
OTU_31	OTU_64	-0.267006	-0.267006	-0.267006	2	2	22	0	0.167000	-0.219572	0.302586	-0.219572	0.302586	0	-0.435760	0.033294	-0.435760	0.033294	0	0.382684	0.630283	0.003531	0.151996	0.000411	28	67
OTU_31	OTU_509	0.333600	0.333600	0.333600	3	2	19	1	0.137000	-0.150909	0.481508	0.504952	0.013990	1	-0.219001	0.303877	0.395232	0.061959	1	0.351058	0.630283	0.000626	0.407367	0.000556	28	68
OTU_31	OTU_77	-0.205683	-0.205683	-0.205683	5	4	19	1	0.182000	0.125690	0.558407	-0.323494	0.132136	1	0.280015	0.185088	-0.330782	0.123152	1	0.393911	0.630283	0.002613	0.331108	0.000761	28	69
OTU_31	OTU_47	-0.212843	-0.212843	-0.212843	2	2	7	0	0.986000	-0.175123	0.413085	-0.258567	0.233542	1	0.008918	0.967010	-0.085797	0.697098	1	0.747134	0.630283	0.003271	0.645439	0.002204	28	70
OTU_31	OTU_57	-0.476616	-0.476616	-0.476616	3	3	21	0	0.180000	-0.317799	0.130197	-0.317799	0.130197	0	-0.396962	0.054775	-0.396962	0.054775	0	0.391340	0.624724	0.002601	0.195189	0.000524	28	71
OTU_31	OTU_1013	-0.140105	-0.140105	-0.140105	4	5	19	-1	0.732000	0.021489	0.920611	-0.203010	0.352873	-1	0.188920	0.376637	-0.196034	0.370008	-1	0.678377	0.669782	0.003678	0.448251	0.001378	28	72
OTU_31	OTU_48	0.352237	0.352237	0.352237	5	5	15	0	0.633000	0.361485	0.082632	0.361485	0.082632	0	0.291617	0.166778	0.291617	0.166778	0	0.645864	0.508126	0.002050	0.317496	0.000889	28	73
OTU_31	OTU_56	0.137546	0.137546	0.137546	6	6	10	0	0.824000	-0.013770	0.949082	-0.191909	0.380359	1	0.163138	0.446258	0.163138	0.446258	0	0.705825	0.675520	0.003724	0.479762	0.001559	28	74
